Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-09-16 04:00:00+00:00,215.5368837592455,216.21374159471785,212.9290256243428,215.3179168701172,59357400,0.0,0.0
2024-09-17 04:00:00+00:00,214.75054527350213,215.8952118613641,213.5063358570856,215.7857208251953,45519300,0.0,0.0
2024-09-18 04:00:00+00:00,216.54221012404864,221.67831024616868,216.5322467283196,219.66766357421875,59894900,0.0,0.0
2024-09-19 04:00:00+00:00,223.94775287051627,228.75538000957172,223.58941994126667,227.8097686767578,66781300,0.0,0.0
2024-09-20 04:00:00+00:00,228.90467282845125,232.01021467188832,226.5655530501552,227.1428680419922,318679900,0.0,0.0
2024-09-23 04:00:00+00:00,226.2868480598011,228.38707413181643,224.7639369712135,225.4208831787109,54146000,0.0,0.0
2024-09-24 04:00:00+00:00,227.59078065470555,228.28755007923567,224.6843092769655,226.31671142578125,43556100,0.0,0.0
2024-09-25 04:00:00+00:00,223.88801837861104,226.2370864319121,222.98224544035924,225.32135009765625,42308700,0.0,0.0
2024-09-26 04:00:00+00:00,226.24703661091277,227.44147457763864,224.3657926365912,226.4660186767578,36636700,0.0,0.0
2024-09-27 04:00:00+00:00,227.40166606122023,228.45675318264773,226.24703611440785,226.73475646972656,34026000,0.0,0.0
2024-09-30 04:00:00+00:00,228.9743594736852,231.920654296875,228.58616671135624,231.920654296875,54541900,0.0,0.0
2024-10-01 04:00:00+00:00,228.45675818805825,228.5861456381701,222.70353511874544,225.1620941162109,63285000,0.0,0.0
2024-10-02 04:00:00+00:00,224.84358511910924,226.31672490502265,221.98688498556476,225.72946166992188,32880600,0.0,0.0
2024-10-03 04:00:00+00:00,224.09704443839323,225.759306386038,222.28548343692836,224.6245880126953,34044200,0.0,0.0
2024-10-04 04:00:00+00:00,226.8442543024003,226.9437971307691,223.09172964492672,225.74935913085935,37245100,0.0,0.0
2024-10-07 04:00:00+00:00,223.46000516495792,224.6444949275546,220.30469199255063,220.66302490234372,39505400,0.0,0.0
2024-10-08 04:00:00+00:00,223.26094483680063,224.933155033014,222.2158058701156,224.72413635253903,31855700,0.0,0.0
2024-10-09 04:00:00+00:00,224.18662246797504,228.68568791487783,223.78848153487695,228.4766540527344,33591100,0.0,0.0
2024-10-10 04:00:00+00:00,226.7248005882391,228.4368338478112,226.11762582538967,227.9789581298828,28183500,0.0,0.0
2024-10-11 04:00:00+00:00,228.23778864704397,228.3472796881356,226.28686151162023,226.4958953857422,31759200,0.0,0.0
2024-10-14 04:00:00+00:00,227.6405539391785,230.65651637799863,227.54102629778745,230.228515625,39882100,0.0,0.0
2024-10-15 04:00:00+00:00,232.52781469355563,236.3898456598821,231.29355345996072,232.76670837402344,64751400,0.0,0.0
2024-10-16 04:00:00+00:00,230.52710945831015,231.04468960128423,228.77525301100687,230.70626831054688,34082200,0.0,0.0
2024-10-17 04:00:00+00:00,232.348638945834,232.76670668063704,229.4521309302649,231.07456970214844,32993800,0.0,0.0
2024-10-18 04:00:00+00:00,235.0858880500012,235.0858880500012,232.92594240501305,233.91136169433597,46431500,0.0,0.0
2024-10-21 04:00:00+00:00,233.36391138062547,235.75280253487685,233.36391138062547,235.38450622558597,36254500,0.0,0.0
2024-10-22 04:00:00+00:00,232.8065045656556,235.125712669187,231.5224871701216,234.7673797607422,38846600,0.0,0.0
2024-10-23 04:00:00+00:00,232.99563706556216,234.05072423456664,226.7049068825192,229.6910095214844,52287000,0.0,0.0
